delta,val,tare
-45,8270276,270321
-6,8270315,270321
8,8270329,270321
-78,8270243,270321
-85,8270236,270321
-51,8270270,270321
-43,8270278,270321
-95,8270226,270321
-56,8270265,270321
-29,8270292,270321
-85,8270236,270321
-96,8270225,270321
-47,8270274,270321
0,8270321,270321
9,8270330,270321
-49,8270272,270321
-170,8270151,270321
-122,8270199,270321
-139,8270182,270321
-176,8270145,270321
-221,8270100,270321
-230,8270091,270321
-206,8270115,270321
-194,8270127,270321
-213,8270108,270321
-116,8270205,270321
-66,8270255,270321
-44,8270277,270321
-85,8270236,270321
-100,8270221,270321
-130,8270191,270321
-78,8270243,270321
-86,8270235,270321
-91,8270230,270321
-138,8270183,270321
-117,8270204,270321
-138,8270183,270321
-117,8270204,270321
-114,8270207,270321
-121,8270200,270321
-58,8270263,270321
19,8270340,270321
97,8270418,270321
90,8270411,270321
52,8270373,270321
217,8270538,270321
74,8270395,270321
67,8270388,270321
-224,8270097,270321
-354,8269967,270321
-244,8270077,270321
-347,8269974,270321
-570,8269751,270321
-630,8269691,270321
-670,8269651,270321
-712,8269609,270321
-720,8269601,270321
-709,8269612,270321
-731,8269590,270321
-678,8269643,270321
-637,8269684,270321
-538,8269783,270321
-578,8269743,270321
-605,8269716,270321
-527,8269794,270321
-633,8269688,270321
-651,8269670,270321
-596,8269725,270321
-629,8269692,270321
-614,8269707,270321
-616,8269705,270321
-782,8269539,270321
-282,8270039,270321
-119,8270202,270321
-258,8270063,270321
-118,8270203,270321
-9,8270312,270321
-237,8270084,270321
-129,8270192,270321
-155,8270166,270321
-199,8270122,270321
-186,8270135,270321
-180,8270141,270321
-176,8270145,270321
-220,8270101,270321
-227,8270094,270321
-189,8270132,270321
-157,8270164,270321
-191,8270130,270321
-311,8270010,270321
-218,8270103,270321
-283,8270038,270321
-378,8269943,270321
-436,8269885,270321
-406,8269915,270321
-389,8269932,270321
-497,8269824,270321
-385,8269936,270321
-366,8269955,270321
-486,8269835,270321
-444,8269877,270321
-487,8269834,270321
-447,8269874,270321
-402,8269919,270321
-402,8269919,270321
-381,8269940,270321
-369,8269952,270321
-322,8269999,270321
1120,8271441,270321
2214,8272535,270321
6039,8276360,270321
11545,8281866,270321
16610,8286931,270321
22550,8292871,270321
29406,8299727,270321
29884,8300205,270321
18123,8288444,270321
3429,8273750,270321
-298,8270023,270321
-386,8269935,270321
-405,8269916,270321
-397,8269924,270321
-379,8269942,270321
-420,8269901,270321
-449,8269872,270321
-457,8269864,270321
-469,8269852,270321
-434,8269887,270321
-350,8269971,270321
33,8270354,270321
733,8271054,270321
6453,8276774,270321
22489,8292810,270321
15155,8285476,270321
4192,8274513,270321
-140,8270181,270321
-397,8269924,270321
-346,8269975,270321
-220,8270101,270321
-199,8270122,270321
-234,8270087,270321
-236,8270085,270321
-199,8270122,270321
-172,8270149,270321
-214,8270107,270321
-228,8270093,270321
-264,8270057,270321
-237,8270084,270321
-256,8270065,270321
-255,8270066,270321
-248,8270073,270321
-242,8270079,270321
-224,8270097,270321
-287,8270034,270321
-249,8270072,270321
-191,8270130,270321
-215,8270106,270321
-187,8270134,270321
-238,8270083,270321
-263,8270058,270321
-195,8270126,270321
-255,8270066,270321
-246,8270075,270321
-173,8270148,270321
-183,8270138,270321
-259,8270062,270321
-230,8270091,270321
-140,8270181,270321
-170,8270151,270321
-184,8270137,270321
-135,8270186,270321
-145,8270176,270321
-128,8270193,270321
-249,8270072,270321
-241,8270080,270321
-214,8270107,270321
-199,8270122,270321
-247,8270074,270321
-212,8270109,270321
-201,8270120,270321
-237,8270084,270321
-1766,8268555,270321
-3947,8266374,270321
-6755,8263566,270321
-13364,8256957,270321
-21065,8249256,270321
-22514,8247807,270321
-14410,8255911,270321
-1631,8268690,270321
3958,8274279,270321
849,8271170,270321
-176,8270145,270321
-181,8270140,270321
-213,8270108,270321
-159,8270162,270321
459,8270780,270321
-742,8269579,270321
-7599,8262722,270321
-14455,8255866,270321
-17124,8253197,270321
-20396,8249925,270321
-25103,8245218,270321
-28160,8242161,270321
-29397,8240924,270321
-29720,8240601,270321
-34086,8236235,270321
-35150,8235171,270321
-33125,8237196,270321
-30639,8239682,270321
-33406,8236915,270321
-35789,8234532,270321
-30686,8239635,270321
-21774,8248547,270321
-10185,8260136,270321
6286,8276607,270321
18837,8289158,270321
26634,8296955,270321
40484,8310805,270321
47374,8317695,270321
53453,8323774,270321
59021,8329342,270321
59219,8329540,270321
56015,8326336,270321
53043,8323364,270321
50956,8321277,270321
44239,8314560,270321
